Clock: 41.966778875, Future Event List: [(Arrival, 42.361960135), (Departure, 42.931035491), ], Number of Departures: 73, Queue Size: 9, Server Utilization: 1.587917912
Clock: 42.361960135, Future Event List: [(Arrival, 42.744474327), (Departure, 42.931035491), ], Number of Departures: 73, Queue Size: 10, Server Utilization: 1.57310473
Clock: 42.744474327, Future Event List: [(Departure, 42.931035491), (Arrival, 43.649957544), ], Number of Departures: 73, Queue Size: 11, Server Utilization: 1.559027241
Clock: 42.931035491, Future Event List: [(Departure, 43.602186527), (Arrival, 43.649957544), ], Number of Departures: 74, Queue Size: 10, Server Utilization: 1.55225233
Clock: 43.602186527, Future Event List: [(Arrival, 43.649957544), (Departure, 43.901361383), ], Number of Departures: 75, Queue Size: 9, Server Utilization: 1.52835913
Clock: 43.649957544, Future Event List: [(Departure, 43.901361383), (Arrival, 44.615215293), ], Number of Departures: 75, Queue Size: 10, Server Utilization: 1.526686476
Clock: 43.901361383, Future Event List: [(Departure, 44.43248791), (Arrival, 44.615215293), ], Number of Departures: 76, Queue Size: 9, Server Utilization: 1.517943813
Clock: 44.43248791, Future Event List: [(Departure, 44.433951085), (Arrival, 44.615215293), ], Number of Departures: 77, Queue Size: 8, Server Utilization: 1.499798976
Clock: 44.433951085, Future Event List: [(Arrival, 44.615215293), (Departure, 45.317739894), ], Number of Departures: 78, Queue Size: 7, Server Utilization: 1.499749589
Clock: 44.615215293, Future Event List: [(Arrival, 45.243482646), (Departure, 45.317739894), ], Number of Departures: 78, Queue Size: 8, Server Utilization: 1.493656355
Clock: 45.243482646, Future Event List: [(Departure, 45.317739894), (Arrival, 45.375513816), ], Number of Departures: 78, Queue Size: 9, Server Utilization: 1.472914903
Clock: 45.317739894, Future Event List: [(Arrival, 45.375513816), (Departure, 45.722123751), ], Number of Departures: 79, Queue Size: 8, Server Utilization: 1.470501398
Clock: 45.375513816, Future Event List: [(Departure, 45.722123751), (Arrival, 45.993815594), ], Number of Departures: 79, Queue Size: 9, Server Utilization: 1.468629097
Clock: 45.722123751, Future Event List: [(Arrival, 45.993815594), (Departure, 46.023329338), ], Number of Departures: 80, Queue Size: 8, Server Utilization: 1.457495724
Clock: 45.993815594, Future Event List: [(Departure, 46.023329338), (Arrival, 46.376835698), ], Number of Departures: 80, Queue Size: 9, Server Utilization: 1.448886095
Clock: 46.023329338, Future Event List: [(Arrival, 46.376835698), (Departure, 46.973910929), ], Number of Departures: 81, Queue Size: 8, Server Utilization: 1.447956956
Clock: 46.376835698, Future Event List: [(Departure, 46.973910929), (Arrival, 47.368029446), ], Number of Departures: 81, Queue Size: 9, Server Utilization: 1.436919938
Clock: 46.973910929, Future Event List: [(Arrival, 47.368029446), (Departure, 47.434559122), ], Number of Departures: 82, Queue Size: 8, Server Utilization: 1.418655559
Clock: 47.368029446, Future Event List: [(Departure, 47.434559122), (Arrival, 47.654856731), ], Number of Departures: 82, Queue Size: 9, Server Utilization: 1.40685185
Clock: 47.434559122, Future Event List: [(Arrival, 47.654856731), (Departure, 47.722206633), ], Number of Departures: 83, Queue Size: 8, Server Utilization: 1.40487866
Clock: 47.654856731, Future Event List: [(Departure, 47.722206633), (Arrival, 48.361048161), ], Number of Departures: 83, Queue Size: 9, Server Utilization: 1.398384225
Clock: 47.722206633, Future Event List: [(Departure, 47.806833272), (Arrival, 48.361048161), ], Number of Departures: 84, Queue Size: 8, Server Utilization: 1.396410698
Clock: 47.806833272, Future Event List: [(Arrival, 48.361048161), (Departure, 48.389014607), ], Number of Departures: 85, Queue Size: 7, Server Utilization: 1.393938801
Clock: 48.361048161, Future Event List: [(Departure, 48.389014607), (Arrival, 48.896254059), ], Number of Departures: 85, Queue Size: 8, Server Utilization: 1.377964341
Clock: 48.389014607, Future Event List: [(Departure, 48.542083304), (Arrival, 48.896254059), ], Number of Departures: 86, Queue Size: 7, Server Utilization: 1.377167946
Clock: 48.542083304, Future Event List: [(Departure, 48.61517761), (Arrival, 48.896254059), ], Number of Departures: 87, Queue Size: 6, Server Utilization: 1.372825296
